"Ned" "Daenerys" "Jon" "Littlefinger" "Arya" "Catelyn" "Bronn" "Cersei" "Shae" "Joffrey" "Sansa" "Tyrion" "Jeor" "Robb" "Bran" "Jaime" "Loras" "Jory Cassel" "Jorah" "Ros" "Grenn" "Benjen" "Greatjon Umber" "Mord" "Doreah" "Lysa" "Pyp" "Renly" "Drogo" "Barristan" "Illyrio" "Osha" "Shagga" "Alliser Thorne" "Hound" "Theon" "Maester Luwin" "Robert" "Lancel" "Mirri Maz Duur" "Pycelle" "Kevan" "Janos Slynt" "Gendry" "Hot Pie" "Jon Arryn" "Irri" "Meryn Trant" "Mhaegen" "Robin Arryn" "Rodrik Cassel" "Aerys" "Baelor" "Dareon" "Ser Vardis" "Hugh Of The Vale" "Maester Aemon" "Othell Yarwyck" "Rast" "Gared" "Jonos Bracken" "Marillion" "Masha Heddle" "Mountain" "Ilyn Payne" "Lyanna" "Mycah" "Old Nan" "Royce" "Ryger Rivers" "Stevron Frey" "Waymar Royce" "Addam Marbrand" "Assassin" "Balon" "Beric" "Brandon Stark" "Cohollo" "Hodor" "Hoster" "Myrcella" "Qotho" "Rakharo" "Rickon" "Varys" "Aegon" "Borcas" "Bowen Marsh" "Galbart Glover" "High Septon" "Jaremy Rykker" "Joanna" "Joyeuse" "Leo Lefford" "Luke" "Melessa" "Othor" "Randyll" "Rhaegar" "Rhaego" "Rickard Karstark" "Stannis" "Sam" "Viserys" "Septa Mordane" "Tywin" "Syrio Forel" "Walder" "Yoren" "Wine Merchant" "Lommy Greenhands" "Vardis Egen" "Mago" "Tobho Mott" "Stable Boy" "Tomard" "Rickard Stark" "Will" "Jhiqui" "Irogenia" "Tysha" "Tommen" "Little Bird" "Mace" "Roose Bolton" "Steffon" "Varly"
"Sansa" 49 2 0 22 53 14 0 36 0 69 0 0 0 9 0 2 4 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 19 0 2 17 0 0 13 0 0 0 0 0 0 10 0 0 0 2 2 0 0 2 0 0 0 0 0 0 0 4 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 64 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyrion" 11 0 45 6 2 41 86 18 73 15 0 0 15 16 15 34 0 0 0 17 6 17 0 31 0 30 6 0 0 0 0 0 22 0 10 19 7 7 0 0 0 14 0 0 0 0 0 0 0 9 9 0 0 0 8 0 7 0 3 0 0 5 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 3 0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 61 0 0 22 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Jeor" 3 0 60 0 0 0 0 2 0 2 0 15 0 0 0 0 0 0 0 0 4 2 0 0 0 0 10 0 0 0 0 0 0 9 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Robb" 23 0 25 0 6 90 0 8 0 12 9 16 0 0 48 10 0 0 0 0 0 5 31 0 0 0 0 3 0 0 0 8 0 0 2 60 17 5 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 3 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bran" 29 0 19 0 5 28 0 4 0 0 0 15 0 48 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 2 26 53 7 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 2 0 0 2 0 11 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Jaime" 53 0 10 5 3 28 0 46 0 6 2 34 0 10 9 0 0 27 0 4 0 0 3 0 0 0 0 0 0 4 0 0 0 0 2 4 0 20 0 0 0 5 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0
"Loras" 4 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"Jory Cassel" 44 0 0 7 7 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jorah" 2 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 20 0 2 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 9 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 43 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"Ros" 2 0 2 19 0 0 0 2 0 0 0 17 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 2 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grenn" 0 0 24 0 0 0 0 0 0 0 0 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Benjen" 14 0 33 0 0 2 0 2 0 0 0 17 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Greatjon Umber" 2 0 0 0 0 11 0 0 0 0 0 0 0 31 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mord" 0 0 0 0 0 5 3 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Doreah" 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0
